,words,word_probs,word_labels
0,"['The', 'image', 'features', 'a', 'group', 'of', 'five', 'young', 'adults', 'sitting', 'around', 'a', 'dining', 'table,', 'engaged', 'in', 'conversation', 'and', 'various', 'activities.', 'There', 'are', 'two', 'cups', 'on', 'the', 'table,', 'with', 'one', 'closer', 'to', 'the', 'center', 'and', 'the', 'other', 'positioned', 'towards', 'the', 'right', 'edge.', 'Additionally,', 'there', 'is', 'a', 'pencil', 'and', 'a', 'pair', 'of', 'scissors', 'placed', 'on', 'the', 'table.', 'A', 'book', 'is', 'also', 'present', 'on', 'a', 'higher', 'surface', 'nearby.', 'Another', 'dining', 'table', 'is', 'visible', 'in', 'the', 'scene,', 'positioned', 'towards', 'the', 'top', 'right', 'corner', 'of', 'the', 'image.', 'A', 'cell', 'phone', 'can', 'be', 'seen,', 'likely', 'belonging', 'to', 'one', 'of', 'the', 'individuals', 'in', 'the', 'group.</s>']","[0.854, 0.882, 0.255, 0.934, 0.887, 1.0, 0.031, 0.127, 0.204, 0.561, 0.48, 0.938, 0.404, 0.984, 0.249, 0.996, 0.182, 0.765, 0.061, 0.781, 0.017, 1.0, 1.0, 1.0, 1.0, 1.0, 0.034, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.26, 1.0, 1.0, 1.0, 0.001, 1.0, 1.0, 0.164, 1.0, 1.0, 1.0, 1.0, 1.0, 0.03, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.119, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.004, 1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.021, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.093]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
1,"['The', 'image', 'depicts', 'a', 'group', 'of', 'people', 'standing', 'in', 'a', 'body', 'of', 'water,', 'possibly', 'a', 'beach', 'or', 'a', 'lake.', 'The', 'people', 'are', 'wearing', 'hats', 'and', 'appear', 'to', 'be', 'engaged', 'in', 'the', 'activity', 'of', 'fishing.', 'In', 'total,', 'there', 'are', 'eight', 'people', 'visible', 'in', 'the', 'scene,', 'with', 'some', 'of', 'them', 'closer', 'to', 'the', ""water's"", 'edge,', 'while', 'others', 'are', 'scattered', 'around.', 'Various', 'fishing', 'gear', 'is', 'present,', 'including', 'two', 'fishing', 'nets,', 'one', 'near', 'the', 'center', 'of', 'the', 'scene', 'and', 'another', 'to', 'the', 'right', 'side.', 'A', 'boat', 'can', 'also', 'be', 'seen,', 'located', 'towards', 'the', 'bottom', 'left', 'corner', 'of', 'the', 'image.', 'The', 'scene', 'is', 'set', 'against', 'a', 'beautiful', 'backdrop', 'of', 'the', 'sun', 'and', 'clouds,', 'creating', 'a', 'serene', 'and', 'picturesque', 'atmosphere.</s>']","[0.897, 0.847, 0.174, 0.845, 0.758, 1.0, 0.808, 0.378, 0.53, 0.649, 0.628, 1.0, 0.991, 0.281, 0.66, 0.038, 0.634, 0.466, 0.478, 0.165, 0.3, 0.648, 0.343, 0.464, 0.46, 0.167, 0.99, 0.99, 0.06, 0.998, 0.079, 0.636, 0.755, 0.034, 0.028, 0.481, 0.984, 0.998, 0.122, 0.679, 0.344, 0.853, 0.975, 0.849, 0.319, 0.742, 0.422, 0.983, 0.163, 0.936, 0.971, 0.466, 0.977, 0.669, 0.983, 0.922, 0.072, 0.25, 0.163, 1.0, 1.0, 1.0, 0.14, 1.0, 1.0, 0.027, 1.2e-05, 0.001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.013, 1.0, 1.0, 0.008, 1.0, 0.374, 1.0, 0.003, 1.0, 1.0, 1.0, 0.328, 1.0, 0.189, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 1.0, 0.09, 1.0, 0.223, 0.002, 1.0, 1.0, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
2,"['The', 'image', 'features', 'a', 'man', 'and', 'a', 'woman', 'walking', 'down', 'a', 'sidewalk,', 'likely', 'in', 'a', 'city.', 'Both', 'of', 'them', 'are', 'wearing', 'backpacks,', 'with', 'the', ""man's"", 'bag', 'slightly', 'larger', 'than', 'the', ""woman's."", 'They', 'appear', 'to', 'be', 'holding', 'hands', 'as', 'they', 'stroll', 'together.', 'There', 'are', 'two', 'handbags', 'visible', 'in', 'the', 'scene,', 'one', 'near', 'the', 'man', 'and', 'the', 'other', 'further', 'away', 'from', 'them.', 'A', 'chair', 'is', 'also', 'present', 'in', 'the', 'background,', 'adding', 'to', 'the', 'urban', 'setting', 'of', 'the', 'scene.</s>']","[0.747, 0.928, 0.4, 0.299, 0.784, 0.973, 0.898, 0.996, 0.812, 0.554, 0.54, 0.46, 0.075, 0.208, 0.711, 0.354, 0.331, 0.302, 0.987, 0.788, 0.627, 0.95, 0.426, 0.623, 0.665, 0.019, 0.053, 0.795, 0.871, 0.988, 0.979, 0.439, 0.382, 0.981, 0.992, 0.086, 0.969, 0.315, 0.995, 0.25, 0.018316, 0.114, 1.0, 1.0, 1.0, 1.0, 0.418, 1.0, 1.0, 0.001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.007, 0.515, 1.0, 1.0, 1.0, 1.0, 0.027, 0.01, 1.0, 1.0, 1.0, 0.003, 1.0, 1.0, 0.005, 1.0, 0.001, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
3,"['The', 'image', 'features', 'an', 'older', 'man', 'wearing', 'a', 'hat,', 'sitting', 'on', 'a', 'brick', 'wall', 'while', 'playing', 'a', 'guitar.', 'He', 'appears', 'to', 'be', 'enjoying', 'his', 'time', 'as', 'he', 'plays', 'the', 'instrument.', 'The', 'scene', 'is', 'set', 'in', 'an', 'outdoor', 'environment,', 'with', 'some', 'greenery', 'visible', 'in', 'the', 'background.</s>']","[0.756, 0.925, 0.61, 0.573, 0.795, 0.561, 0.502, 0.965, 0.584, 0.503, 0.425, 0.946, 0.445, 0.885, 0.295, 0.857, 0.815, 0.849, 0.754, 0.54, 0.944, 0.993, 0.414, 0.574, 0.806, 0.064, 0.727, 0.396, 0.616, 0.571, 0.553, 0.246, 0.255, 0.649, 0.46, 0.275, 0.895, 0.024525, 0.421, 0.112, 0.181, 0.397, 0.691, 0.994, 0.676]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
4,"['The', 'image', 'features', 'a', 'small', 'boat', 'carrying', 'four', 'dogs.', 'The', 'dogs', 'are', 'comfortably', 'sitting', 'on', 'the', 'boat,', 'while', 'one', 'woman', 'is', 'sitting', 'at', 'the', 'front,', 'steering', 'the', 'boat.', 'She', 'appears', 'to', 'be', 'enjoying', 'her', 'time', 'with', 'the', 'dogs.', 'The', 'woman', 'is', 'wearing', 'a', 'blue', 'shirt,', 'and', 'the', 'scene', 'takes', 'place', 'on', 'a', 'river.', 'The', 'boat', 'is', 'surrounded', 'by', 'a', 'lush', 'green', 'environment,', 'giving', 'the', 'impression', 'of', 'a', 'serene', 'outdoor', 'adventure.</s>']","[0.768, 0.881, 0.481, 0.902, 0.069, 0.677, 0.13, 0.247, 0.277, 0.258, 0.415, 0.752, 0.036, 0.489, 0.38, 0.718, 0.876, 0.044, 0.202, 0.315, 0.533, 0.262, 0.064, 0.992, 0.746, 0.144, 0.941, 0.781, 0.104, 0.406, 0.954, 0.982, 0.598, 0.564, 0.963, 0.401, 0.775, 0.656, 0.158, 1.0, 1.0, 0.005, 1.0, 0.049, 0.045, 0.312, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.092, 1.0, 0.023472, 1.0, 1.0, 1.0, 1.0, 1.0, 0.001, 1.0, 1.0]","[False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
5,"['The', 'image', 'captures', 'a', 'heartwarming', 'moment', 'between', 'a', 'woman', 'and', 'a', 'young', 'child.', 'The', 'woman', 'is', 'sitting', 'down', 'and', 'kissing', 'the', 'child', 'on', 'the', 'forehead.', 'They', 'are', 'both', 'wearing', 'green', 'jackets,', 'which', 'adds', 'a', 'touch', 'of', 'color', 'to', 'the', 'scene.', 'In', 'addition', 'to', 'the', 'woman', 'and', 'the', 'child,', 'there', 'is', 'also', 'a', 'handbag', 'placed', 'in', 'the', 'background,', 'possibly', 'belonging', 'to', 'one', 'of', 'the', 'individuals', 'in', 'the', 'scene.', 'The', 'overall', 'atmosphere', 'of', 'the', 'image', 'is', 'warm', 'and', 'affectionate.</s>']","[0.643, 0.903, 0.202, 0.903, 0.5, 0.853, 0.757, 0.927, 0.649, 0.929, 0.968, 0.329, 0.842, 0.857, 0.908, 0.702, 0.194, 0.4, 0.236, 0.202, 0.969, 0.448, 0.639, 0.892, 0.347, 0.188, 0.47, 0.412, 0.247, 0.067, 0.016700000000000003, 0.344, 0.524, 0.624, 0.382, 0.998, 0.576, 0.964, 0.974, 0.923, 0.093, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.375, 1.0, 1.0, 1.0, 0.392, 1.0, 1.0, 0.099, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.079, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
6,"['The', 'image', 'features', 'a', 'woman', 'with', 'blue', 'hair', 'and', 'facial', 'hair,', 'likely', 'a', 'mustache,', 'making', 'funny', 'faces', 'for', 'the', 'camera.', 'She', 'has', 'her', 'mouth', 'open,', 'showcasing', 'her', 'teeth,', 'and', 'her', 'eyes', 'are', 'squinted,', 'adding', 'to', 'the', 'comical', 'effect.', 'The', 'woman', 'appears', 'to', 'be', 'enjoying', 'herself', 'and', 'is', 'the', 'main', 'focus', 'of', 'this', 'playful', 'moment.</s>']","[0.735, 0.953, 0.583, 0.987, 0.549, 0.851, 0.508, 0.919, 0.29, 0.016, 0.946, 0.127, 0.91, 0.134, 0.209, 0.018, 0.834, 0.109, 0.896, 0.969, 0.913, 0.167, 0.366, 0.929, 0.607, 0.025, 0.869, 0.275, 0.76, 0.104, 0.496, 0.829, 0.305, 0.392, 0.772, 0.805, 0.219, 0.446, 0.521, 0.754, 0.453, 0.897, 0.992, 0.437, 0.655, 0.304, 0.138, 0.382, 0.719, 0.733, 0.935, 0.007, 0.167, 0.148]","[False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
7,"['The', 'image', 'captures', 'a', 'group', 'of', 'people', 'gathered', 'together', 'and', 'smiling,', 'possibly', 'at', 'a', 'parade', 'or', 'a', 'music', 'event.', 'Among', 'the', 'group,', 'there', 'are', 'at', 'least', '12', 'people', 'visible,', 'with', 'many', 'of', 'them', 'holding', 'up', 'signs.', 'One', 'person', 'in', 'the', 'group', 'is', 'wearing', 'a', 'yellow', 'shirt,', 'possibly', 'a', 'performer', 'or', 'a', 'participant', 'in', 'the', 'event.', 'In', 'the', 'background,', 'a', 'clock', 'can', 'be', 'seen,', 'indicating', 'the', 'time', 'of', 'the', 'event.', 'The', 'people', 'in', 'the', 'group', 'are', 'spread', 'out,', 'with', 'some', 'standing', 'closer', 'to', 'the', 'front', 'and', 'others', 'further', 'back.', 'The', 'atmosphere', 'appears', 'to', 'be', 'lively', 'and', 'enjoyable,', 'with', 'everyone', 'having', 'a', 'good', 'time.</s>']","[0.862, 0.885, 0.226, 0.964, 0.117, 1.0, 0.691, 0.39, 0.403, 0.045, 0.128, 0.212, 0.397, 0.758, 0.265, 0.718, 0.483, 0.004, 0.411, 0.113, 0.719, 0.246, 0.554, 0.578, 0.117, 0.999, 0.197, 0.588, 0.11119200000000001, 0.305, 0.024, 0.802, 0.988, 0.338, 0.44, 0.244, 0.099, 0.296, 0.287, 0.872, 0.406, 0.471, 0.409, 0.751, 0.322, 0.904, 0.046, 0.086, 0.048, 0.59, 0.339, 0.074, 0.664, 0.868, 0.93, 0.113, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.005, 1.0, 0.003, 1.0, 0.007, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.015, 0.104, 1.0, 0.094, 0.002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.125, 0.003, 1.0, 1.0, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8,"['The', 'image', 'depicts', 'a', 'man', 'and', 'woman', 'standing', 'together', 'in', 'a', 'grassy', 'area,', 'possibly', 'a', 'field.', 'The', 'woman', 'is', 'riding', 'on', 'the', 'back', 'of', 'a', 'bull,', 'showcasing', 'their', 'connection', 'and', 'cooperation.', 'The', 'man', 'is', 'wearing', 'a', 'skirt', 'and', 'holding', 'the', ""bull's"", 'head,', 'ensuring', 'the', 'safety', 'of', 'both', 'the', 'woman', 'and', 'himself.', 'The', 'scene', 'creates', 'a', 'sense', 'of', 'adventure', 'and', 'camaraderie', 'between', 'the', 'two', 'people.</s>']","[0.718, 0.87, 0.19, 0.816, 0.488, 0.707, 0.08, 0.62, 0.118, 0.387, 0.663, 0.322, 0.022359999999999998, 0.08, 0.356, 0.238, 0.759, 0.572, 0.883, 0.182, 0.484, 0.771, 0.736, 0.998, 0.811, 0.122, 0.03, 0.094, 0.315, 0.239, 0.009, 0.739, 0.809, 0.333, 0.068, 0.836, 0.11, 0.487, 0.355, 0.433, 0.42, 0.04, 0.231, 0.484, 0.306, 0.784, 0.447, 0.686, 0.756, 0.98, 0.244, 0.407, 0.591, 0.025, 0.593, 0.661, 1.0, 0.746, 0.927, 0.338, 0.847, 0.966, 0.712, 0.004332]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
9,"['The', 'image', 'shows', 'a', 'lively', 'group', 'of', 'people,', 'including', 'three', 'girls', 'and', 'a', 'guy,', 'sitting', 'on', 'a', 'grass', 'field', 'and', 'engaging', 'with', 'their', 'laptops.', 'They', 'appear', 'to', 'be', 'enjoying', 'some', 'outdoor', 'computer', 'work.', 'Some', 'of', 'them', 'are', 'sitting', 'on', 'a', 'towel', 'that', 'lies', 'on', 'the', 'grass,', 'while', 'another', 'pair', 'of', 'pajamas', 'can', 'be', 'spotted', 'in', 'the', 'scene.', 'There', 'is', 'a', 'backpack', 'placed', 'near', 'the', 'people,', 'indicating', 'that', 'they', 'are', 'carrying', 'their', 'belongings', 'with', 'them', 'for', 'an', 'outdoor', 'adventure.', 'The', 'overall', 'atmosphere', 'suggests', 'that', 'the', 'group', 'is', 'working', 'or', 'studying', 'together', 'in', 'this', 'outdoor', 'setting.</s>']","[0.822, 0.943, 0.202, 0.614, 0.028, 0.173, 0.991, 0.195, 0.315, 0.334, 0.074, 0.93, 0.351, 0.343, 0.567, 0.377, 0.447, 0.697, 0.149, 0.32, 0.054, 0.525, 0.66, 0.525, 0.491, 0.288, 0.977, 0.997, 0.429, 0.026, 0.569, 0.038, 0.241, 0.008, 0.725, 0.341, 0.725, 0.067, 0.361, 0.485, 0.205, 0.033, 0.064, 0.708, 0.986, 0.666, 0.628, 0.046, 0.006, 0.467, 0.002, 0.495, 0.882, 0.266, 0.377, 0.994, 0.84, 0.161, 1.0, 1.0, 1.0, 1.0, 0.043, 1.0, 1.0, 1.0, 1.0, 0.245, 1.0, 1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 1.0, 0.014, 1.0, 1.0, 1.0, 0.166, 1.0, 1.0, 0.018, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.061, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
